artist,artist_id,name,song_id,emo,duration,popularity,url
Rhaeide,2XC5Pip2Jfu0ADKwY3ytmp,Silent Hill 2 - Promise (Reprise),0f6t3kaQxnKcpfMSYpRdul,fear,00:01:55,0,https://open.spotify.com/track/0f6t3kaQxnKcpfMSYpRdul
Myuu,5sP3ci0jwrXUBo76t8pGTF,Jeff The Killer (Piano Version) [Sweet Dreams Are Made Of Screams],2Anm4GeifbWzNOv7YDfkw6,fear,00:03:56,0,https://open.spotify.com/track/2Anm4GeifbWzNOv7YDfkw6
Johann Sebastian Bach,5aIqB5nVVvmFsvSdExz408,"Toccata and Fugue in D Minor, BWV. 565: I. Toccata -",4nCkmqxoSLkL6sK16SyzKA,fear,00:02:34,20,https://open.spotify.com/track/4nCkmqxoSLkL6sK16SyzKA
James Smith,2E1XBQ5DauwgbvXww0hFtI,Tili Tili Bom,0mEJsXPyIP9NEtO5NmRd4n,fear,00:02:05,0,https://open.spotify.com/track/0mEJsXPyIP9NEtO5NmRd4n
Saivor,3PWW8caPs1jeuieVTfNB53,Ring Around The Rosie,1BxmH2gJrlzP3VQEW4ycv1,fear,00:05:51,24,https://open.spotify.com/track/1BxmH2gJrlzP3VQEW4ycv1
Tobias Lilja,7tOyGdC9yAlKjbGHGInb1g,"Six's Theme, Pt. I",1UQqpBrtIFEi0OO1BusYq9,fear,00:01:17,35,https://open.spotify.com/track/1UQqpBrtIFEi0OO1BusYq9
Tobias Lilja,7tOyGdC9yAlKjbGHGInb1g,"Six's Theme, Pt. II",5sPig8GP6ZyfJZ6sE3THlZ,fear,00:02:08,39,https://open.spotify.com/track/5sPig8GP6ZyfJZ6sE3THlZ
NoXuu,1oJOBRfGi9NfdOvqrOw4CV,Spooky Scary Skeletons,5VwfTVaHLqNvpieW4nICpo,fear,00:02:42,0,https://open.spotify.com/track/5VwfTVaHLqNvpieW4nICpo
Ray Parker Jr.,0NyzfcGDZZ6GM25EBG9BYK,Ghostbusters,3m0y8qLoznUYi73SUBP8GI,fear,00:04:05,65,https://open.spotify.com/track/3m0y8qLoznUYi73SUBP8GI
Marilyn Manson,2VYQTNDsvvKN9wmU5W7xpj,This Is Halloween,042Y7INHELtUGh8LRtl3X5,fear,00:03:22,49,https://open.spotify.com/track/042Y7INHELtUGh8LRtl3X5
